Count,Strip,Lot ID,MONTH,DAY,Date(측정 일자 및 시간),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Variation,Group,Average
41,S0607,L820027537558,11,1,2021-11-01,1.13355,1.13176,1.13091,1.1319,1.13383,1.13181,1.13376,1.13348,1.15019,1.14491,1.12988,1.14264,1.1436,1.12053,1.12171,1.12049,1.10193,1.14573,1.14927,1.14671,1.14253,1.13845,1.10963,1.10102,1.107,1.11645,1.11107,0,0,0,0.04731,B,1.13
42,S0107,L820027537558,11,1,2021-11-01,1.12952,1.13125,1.13045,1.12901,1.13167,1.13112,1.13132,1.13273,1.14925,1.14023,1.12139,1.14414,1.14342,1.1169,1.11567,1.11672,1.12411,1.14778,1.14898,1.14808,1.14362,1.13966,1.12259,1.13797,1.14445,1.14844,1.14946,0,0,0,0.04825,B,1.128
43,S0307,L820027537558,11,1,2021-11-01,1.12876,1.12971,1.12939,1.13459,1.12979,1.12592,1.1264,1.12726,1.14424,1.13851,1.11906,1.1398,1.14033,1.10634,1.12356,1.11929,1.1119,1.14906,1.1481,1.15062,1.14502,1.13698,1.1125,1.13857,1.14137,1.14643,1.14737,0,0,0,0.04889,B,1.126
44,S0608,L820027537558,11,1,2021-11-01,1.14086,1.14036,1.14074,1.14002,1.12192,1.12483,1.12754,1.12836,1.11784,1.11452,1.10125,1.13866,1.14,1.11903,1.14486,1.14605,1.15102,1.12569,1.14167,1.14799,1.15207,1.15001,1.14822,1.14854,1.14791,1.14193,1.1399,0,0,0,0.04897,B,1.128
45,S0207,L820027537558,11,1,2021-11-01,1.13422,1.13259,1.13142,1.13209,1.13468,1.13642,1.13536,1.1351,1.14866,1.14499,1.12824,1.1365,1.14525,1.11546,1.12078,1.11849,1.1505,1.09847,1.10254,1.10121,1.10889,1.10387,1.15055,1.14824,1.14815,1.14157,1.1405,0,0,0,0.04898,B,1.13
46,S0301,L820027537558,11,1,2021-11-01,1.12538,1.12638,1.1235,1.12529,1.12923,1.12947,1.13183,1.13551,1.11456,1.14098,1.14211,1.12329,1.13978,1.13876,1.09688,1.1175,1.12092,1.14728,1.14981,1.15172,1.14772,1.13988,1.1201,1.14144,1.14477,1.14903,1.14733,0,0,0,0.04961,B,1.125
47,S0704,L820027537558,11,1,2021-11-01,1.14266,1.14043,1.14168,1.14279,1.12916,1.1274,1.12939,1.13696,1.11238,1.1199,1.11848,1.14385,1.14741,1.14573,1.14593,1.14568,1.14824,1.118,1.13942,1.14349,1.14905,1.14875,1.14924,1.14758,1.14603,1.13927,1.13692,0,0,0,0.05008,B,1.139
48,S0505,L820027537558,11,1,2021-11-01,1.13424,1.13522,1.13529,1.13725,1.1354,1.13743,1.13507,1.13949,1.14625,1.14001,1.14441,1.14491,1.13867,1.14062,1.10787,1.10688,1.1503,1.09538,1.10033,1.10144,1.11052,1.1096,1.15095,1.147,1.14404,1.14022,1.13517,0,0,0,0.05026,B,1.136
49,S0104,L820027537558,11,1,2021-11-01,1.14124,1.14303,1.14109,1.13803,1.13124,1.12937,1.1308,1.13471,1.11636,1.11831,1.123,1.1438,1.1434,1.14436,1.14625,1.14589,1.14861,1.1033,1.13669,1.13986,1.14654,1.14852,1.14887,1.14787,1.14792,1.14152,1.13644,0,0,0,0.05041,B,1.139
50,S0308,L820027537558,11,1,2021-11-01,1.13774,1.13797,1.13817,1.13482,1.12169,1.12504,1.12543,1.12457,1.12168,1.11673,1.09703,1.1327,1.13537,1.10942,1.14703,1.143,1.11271,1.14845,1.15303,1.15194,1.14863,1.14204,1.11557,1.11524,1.11812,1.12286,1.1238,0,0,0,0.05113,B,1.126
